,Source,Target,Type,Id,Label,timeset,Weight,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,date,link,tweet,before/after,target,source
84,perezperez1973,AEMEAD1,Directed,90,,,1,3836,1161,1161,2017-09-17,"('perezperez1973', 'AEMEAD1')",rt @ricardorossello: ya en @aemead1 discutiendo lo último sobre la tormenta tropical maria junto a nuestro comité de emergencias. https://t…,,AEMEAD1,perezperez1973
86,GUARETO1,JohnMoralesNBC6,Directed,92,,,1,3912,1237,1237,2017-09-17,"('GUARETO1', 'JohnMoralesNBC6')","rt @johnmoralesnbc6: probabilidad vientos huracán (%)

st croix 56

vieques 51
san juan 46
ponce 42

pto plata 19
sto domingo 16
isla be…",,JohnMoralesNBC6,GUARETO1
87,perezperez1973,EsperanzaDePR,Directed,93,,,1,4068,1393,1393,2017-09-17,"('perezperez1973', 'EsperanzaDePR')",rt @esperanzadepr: el gobernador está preparado para lo que venga lo de la energía eléctrica ⚡️es inevitable? https://t.co/wdy233fc0t,,EsperanzaDePR,perezperez1973
89,antichavez,chematierra,Directed,95,,,1,4113,1438,1438,2017-09-17,"('antichavez', 'chematierra')","rt @chematierra: aviso:
severas inundaciones en curso en #japón 
tifón #talim golpeando prefectura de #oita #saiki
vía @keraunosobs 
https:…",,chematierra,antichavez
90,antichavez,KeraunosObs,Directed,96,,,1,4114,1439,1439,2017-09-17,"('antichavez', 'KeraunosObs')","rt @chematierra: aviso:
severas inundaciones en curso en #japón 
tifón #talim golpeando prefectura de #oita #saiki
vía @keraunosobs 
https:…",,KeraunosObs,antichavez
92,AnalizMateo,VersNord,Directed,98,,,1,4163,1488,1488,2017-09-17,"('AnalizMateo', 'VersNord')","rt @versnord: @aeeonline siempre he pensando que por ley todo el que compre un generador o planta electrica, tienen q coger un ad…",,VersNord,AnalizMateo
93,AnalizMateo,AEEONLINE,Directed,99,,,1,4164,1489,1489,2017-09-17,"('AnalizMateo', 'AEEONLINE')","rt @versnord: @aeeonline siempre he pensando que por ley todo el que compre un generador o planta electrica, tienen q coger un ad…",,AEEONLINE,AnalizMateo
95,floralba1965,VeritoFrei,Directed,101,,,1,4241,1566,1566,2017-09-17,"('floralba1965', 'VeritoFrei')",rt @veritofrei: @nancyortiz101 @mashirafael preparar a los pobres eso para los sufridores es un delito y para los estúpidos k se si…,,VeritoFrei,floralba1965
96,floralba1965,nancyortiz101,Directed,102,,,1,4242,1567,1567,2017-09-17,"('floralba1965', 'nancyortiz101')",rt @veritofrei: @nancyortiz101 @mashirafael preparar a los pobres eso para los sufridores es un delito y para los estúpidos k se si…,,nancyortiz101,floralba1965
98,SilviaP67586661,Culturizando,Directed,104,,,1,4244,1569,1569,2017-09-17,"('SilviaP67586661', 'Culturizando')",rt @culturizando: el venezolano carlos coste es el primer ser humano en romper la barrera de los 177 metros de profundidad en el agua sin a…,,Culturizando,SilviaP67586661
99,benignocolmenar,Telenoticiasrd,Directed,105,,,1,4305,1630,1630,2017-09-17,"('benignocolmenar', 'Telenoticiasrd')",rt @telenoticiasrd: plan social activa comité de emergencia por posible paso de la tormenta maría https://t.co/uznxslhdnc #tnfindesemana ht…,,Telenoticiasrd,benignocolmenar
100,torque2punto0,joselopezjaure,Directed,107,,,1,4417,1742,1742,2017-09-17,"('torque2punto0', 'joselopezjaure')",rt @joselopezjaure: @trafficvalencia @maurel76 porfavor solitamos ayuda para un niño de 8 meses de nacido valextra en anpolla 450 milig…,,joselopezjaure,torque2punto0
101,torque2punto0,trafficVALENCIA,Directed,108,,,1,4418,1743,1743,2017-09-17,"('torque2punto0', 'trafficVALENCIA')",rt @joselopezjaure: @trafficvalencia @maurel76 porfavor solitamos ayuda para un niño de 8 meses de nacido valextra en anpolla 450 milig…,,trafficVALENCIA,torque2punto0
102,torque2punto0,MAUREL76,Directed,109,,,1,4419,1744,1744,2017-09-17,"('torque2punto0', 'MAUREL76')",rt @joselopezjaure: @trafficvalencia @maurel76 porfavor solitamos ayuda para un niño de 8 meses de nacido valextra en anpolla 450 milig…,,MAUREL76,torque2punto0
104,FdoToaquizaV,marcoyaguachi77,Directed,111,,,1,4536,1861,1861,2017-09-17,"('FdoToaquizaV', 'marcoyaguachi77')",rt @marcoyaguachi77: @falvaradoe @martinminguchi tu también cállate lambon,,marcoyaguachi77,FdoToaquizaV
